,game_date,total_pts,fga,fg3a,total_min,total_games,season_type,season,league_avg_ppm,league_avg_fg3a_fga,days_since_last_game,date_num,weights,league_predictions,weighted_mse
0,2017-10-18,2366.0,1946.0,604.0,5259.0,11,0.0,2018,0.44989541737973,0.3103802672147996,1.0,0.009433962264150886,0.0045593310482009855,0.2759362459182739,5.409147511896087e-06
1,2017-10-19,606.0,539.0,172.0,1419.0,3,0.0,2018,0.427061310782241,0.31910946196660483,1.0,0.014150943396226412,0.0012628362975232944,0.27123773097991943,2.8940452613405487e-06
2,2017-10-20,2178.0,1731.0,557.0,4774.0,10,0.0,2018,0.45622119815668205,0.3217793183131138,1.0,0.018867924528301883,0.004055602283882788,0.29982104897499084,1.9554718774451998e-06
3,2017-10-20,2178.0,1731.0,557.0,4774.0,10,0.0,2018,0.45622119815668205,0.3217793183131138,1.0,0.018867924528301883,0.004055602283882788,0.29982104897499084,1.9554718774451998e-06
4,2017-10-22,678.0,536.0,169.0,1425.0,3,0.0,2018,0.47578947368421054,0.31529850746268656,1.0,0.028301886792452824,0.0012558075240676919,0.2655697911977768,3.1055432155859845e-06
5,2017-10-22,678.0,536.0,169.0,1425.0,3,0.0,2018,0.47578947368421054,0.31529850746268656,1.0,0.028301886792452824,0.0012558075240676919,0.2655697911977768,3.1055432155859845e-06
6,2017-10-24,1295.0,1006.0,332.0,2865.0,6,0.0,2018,0.45200698080279234,0.33001988071570576,1.0,0.037735849056603765,0.002356982032112123,0.2680487632751465,9.051799514106935e-06
7,2017-10-25,2093.0,1709.0,593.0,4769.0,10,0.0,2018,0.4388760746487733,0.3469865418373318,1.0,0.042452830188679236,0.004004057945208368,0.2798304557800293,1.8058060667128336e-05
8,2017-10-27,1466.0,1235.0,416.0,3345.0,7,0.0,2018,0.4382660687593423,0.3368421052631579,1.0,0.05188679245283023,0.0028935117392231333,0.29630202054977417,4.755482112197699e-06
9,2017-10-28,1574.0,1332.0,507.0,3820.0,8,0.0,2018,0.4120418848167539,0.38063063063063063,1.0,0.05660377358490565,0.003120775414287622,0.26906609535217285,3.884318536630094e-05
10,2017-10-28,1574.0,1332.0,507.0,3820.0,8,0.0,2018,0.4120418848167539,0.38063063063063063,1.0,0.05660377358490565,0.003120775414287622,0.26906609535217285,3.884318536630094e-05
11,2017-10-30,1943.0,1540.0,528.0,4324.0,9,0.0,2018,0.44935245143385755,0.34285714285714286,1.0,0.06603773584905659,0.003608103707209413,0.2718967795372009,1.8168148574792402e-05
12,2017-10-31,827.0,713.0,213.0,1913.0,4,0.0,2018,0.43230527966544696,0.29873772791023845,1.0,0.070754716981132,0.0016705051579482542,0.27561256289482117,8.933414841350488e-07
13,2017-11-01,2617.0,2079.0,730.0,5758.0,12,0.0,2018,0.4544980896144495,0.3511303511303511,1.0,0.07547169811320753,0.004870940004732707,0.2753245532512665,2.799094924650132e-05
14,2017-11-02,427.0,335.0,92.0,950.0,2,0.0,2018,0.4494736842105263,0.2746268656716418,1.0,0.080188679245283,0.0007848797025423074,0.2829594314098358,5.449549419714732e-08
15,2017-11-03,2553.0,2045.0,721.0,5737.0,12,0.0,2018,0.44500610074952063,0.35256723716381416,1.0,0.08490566037735847,0.004791280572235876,0.2846350818872452,2.211069483751386e-05
16,2017-11-03,2553.0,2045.0,721.0,5737.0,12,0.0,2018,0.44500610074952063,0.35256723716381416,1.0,0.08490566037735847,0.004791280572235876,0.2846350818872452,2.211069483751386e-05
17,2017-11-04,1055.0,852.0,290.0,2447.0,5,0.0,2018,0.4311401716387413,0.3403755868544601,1.0,0.08962264150943394,0.0019961716613911815,0.26694151759147644,1.0764480501712967e-05
18,2017-11-05,2112.0,1710.0,572.0,4777.0,10,0.0,2018,0.4421184844044379,0.3345029239766082,1.0,0.09433962264150941,0.004006400869693569,0.30241793394088745,4.124375695820062e-06
19,2017-11-07,2167.0,1685.0,570.0,4780.0,10,0.0,2018,0.45334728033472804,0.33827893175074186,1.0,0.10377358490566035,0.003947827757563546,0.2928636074066162,8.142598794566271e-06
20,2017-11-08,1092.0,860.0,263.0,2389.0,5,0.0,2018,0.4570950188363332,0.3058139534883721,1.0,0.10849056603773588,0.002014915057272789,0.3002896308898926,6.149146015266834e-08
21,2017-11-09,1088.0,859.0,311.0,2379.0,5,0.0,2018,0.4573350147120639,0.3620488940628638,1.0,0.11320754716981135,0.002012572132787588,0.3039427399635315,6.795097896477848e-06
22,2017-11-09,1088.0,859.0,311.0,2379.0,5,0.0,2018,0.4573350147120639,0.3620488940628638,1.0,0.11320754716981135,0.002012572132787588,0.3039427399635315,6.795097896477848e-06
23,2017-11-11,2396.0,1855.0,586.0,5248.0,11,0.0,2018,0.4565548780487805,0.3159029649595687,1.0,0.12264150943396224,0.004346124920047702,0.2895164340734482,3.025985182499238e-06
24,2017-11-11,2396.0,1855.0,586.0,5248.0,11,0.0,2018,0.4565548780487805,0.3159029649595687,1.0,0.12264150943396224,0.004346124920047702,0.2895164340734482,3.025985182499238e-06
25,2017-11-13,1836.0,1500.0,535.0,4294.0,9,0.0,2018,0.42757335817419656,0.3566666666666667,1.0,0.13207547169811318,0.0035143867278013764,0.2884467840194702,1.635578850560284e-05
26,2017-11-13,1836.0,1500.0,535.0,4294.0,9,0.0,2018,0.42757335817419656,0.3566666666666667,1.0,0.13207547169811318,0.0035143867278013764,0.2884467840194702,1.635578850560284e-05
27,2017-11-15,2264.0,1839.0,621.0,5235.0,11,0.0,2018,0.43247373447946513,0.3376835236541599,1.0,0.14150943396226412,0.004308638128284487,0.2915773242712021,9.159223746978224e-06
