,game_date,total_pts,total_min,total_games,season_type,season,league_avg_ppm,days_since_last_game,date_num
0,2013-10-29,605.0,1438.0,3,2,2014,4.2072322670375515,130.0,1
1,2013-10-30,2796.0,6775.0,14,2,2014,4.126937269372694,1.0,2
2,2013-10-31,404.0,960.0,2,2,2014,4.208333333333333,1.0,3
3,2013-11-01,2573.0,6284.0,13,2,2014,4.094525779758116,1.0,4
4,2013-11-02,1562.0,3841.0,8,2,2014,4.066649310075501,1.0,5
5,2013-11-03,1169.0,2890.0,6,2,2014,4.044982698961937,1.0,6
6,2013-11-04,823.0,1924.0,4,2,2014,4.277546777546777,1.0,7
7,2013-11-05,1827.0,4322.0,9,2,2014,4.227209625173531,1.0,8
8,2013-11-06,1939.0,4807.0,10,2,2014,4.033700852922821,1.0,9
9,2013-11-07,612.0,1437.0,3,2,2014,4.258872651356994,1.0,10
10,2013-11-08,2306.0,5805.0,12,2,2014,3.972437553832903,1.0,11
11,2013-11-09,1818.0,4421.0,9,2,2014,4.112191811807283,1.0,12
12,2013-11-10,818.0,1970.0,4,2,2014,4.152284263959391,1.0,13
13,2013-11-11,1790.0,4418.0,9,2,2014,4.051607062019013,1.0,14
14,2013-11-12,832.0,1924.0,4,2,2014,4.324324324324325,1.0,15
15,2013-11-13,2375.0,5807.0,12,2,2014,4.089891510246254,1.0,16
16,2013-11-14,446.0,961.0,2,2,2014,4.640998959417274,1.0,17
17,2013-11-15,2119.0,5334.0,11,2,2014,3.972628421447319,1.0,18
18,2013-11-16,2223.0,5339.0,11,2,2014,4.1637010676156585,1.0,19
19,2013-11-17,624.0,1488.0,3,2,2014,4.193548387096774,1.0,20
20,2013-11-18,1185.0,2880.0,6,2,2014,4.114583333333333,1.0,21
21,2013-11-19,979.0,2395.0,5,2,2014,4.087682672233821,1.0,22
22,2013-11-20,2574.0,6347.0,13,2,2014,4.055459272097053,1.0,23
23,2013-11-21,380.0,961.0,2,2,2014,3.9542143600416235,1.0,24
24,2013-11-22,2129.0,5334.0,11,2,2014,3.9913760779902514,1.0,25
25,2013-11-23,1996.0,4802.0,10,2,2014,4.156601416076635,1.0,26
26,2013-11-24,963.0,2404.0,5,2,2014,4.005823627287853,1.0,27
27,2013-11-25,1725.0,4369.0,9,2,2014,3.9482719157701993,1.0,28
28,2013-11-26,833.0,1920.0,4,2,2014,4.338541666666667,1.0,29
29,2013-11-27,2341.0,5810.0,12,2,2014,4.029259896729776,1.0,30
30,2013-11-29,2546.0,6336.0,13,2,2014,4.01830808080808,2.0,31
31,2013-11-30,1413.0,3367.0,7,2,2014,4.196614196614196,1.0,32
32,2013-12-01,1695.0,3841.0,8,2,2014,4.412913303827128,1.0,33
33,2013-12-02,1059.0,2550.0,5,2,2014,4.152941176470589,1.0,34
34,2013-12-03,1640.0,3941.0,8,2,2014,4.161380360314641,1.0,35
35,2013-12-04,1371.0,3365.0,7,2,2014,4.074294205052006,1.0,36
36,2013-12-05,572.0,1447.0,3,2,2014,3.9530062197650313,1.0,37
37,2013-12-06,2041.0,4848.0,10,2,2014,4.2099834983498345,1.0,38
38,2013-12-07,1718.0,4369.0,9,2,2014,3.932249942778668,1.0,39
39,2013-12-08,990.0,2400.0,5,2,2014,4.125,1.0,40
40,2013-12-09,1139.0,2878.0,6,2,2014,3.957609451007644,1.0,41
41,2013-12-10,1578.0,3839.0,8,2,2014,4.1104454284970044,1.0,42
42,2013-12-11,1755.0,4368.0,9,2,2014,4.017857142857142,1.0,43
43,2013-12-12,410.0,959.0,2,2,2014,4.2752867570385815,1.0,44
44,2013-12-13,2664.0,6288.0,13,2,2014,4.236641221374046,1.0,45
